sentence	relation 
The hive entrances were oriented in different directions and painted with different colors to reduce colony <e1>drift</e1> of foraging <e2>bees</e2>.	13
This experiment is performed with an <e1>aqueous solution</e1> of a strong acid inside a <e2>flask</e2>.	4
Phone <e1>masts</e1> for the high-tech third generation mobile phones cause headaches and <e2>nausea</e2>.	0
Internal <e1>emails</e1> have been leaked to the public <e2>broadcasting</e2>.	18
He stuffed <e1>cash</e1> into his <e2>shirt</e2> as he fled the robbery.	6
The <e1>problems</e1> are caused by buffer <e2>overflows</e2> when parsing an overly long parameter.	1
A US <e1>aircraft</e1> was dropped into a difficult <e2>landing</e2> in Mali.	18
I have a <e1>strawberry</e1> <e2>tea</e2> addiction.	9
Dartmouth nearly narrowed the gap to one goal when a <e1>slapshot</e1> popped out of the <e2>glove</e2> of Princeton goalie Zane Kalemba '10.	8
Automatic diagnosis has replaced <e1>simulation</e1> for the <e2>correction</e2> of simple design errors.	18
The <e1>high temperature</e1> caused a <e2>decomposition reaction</e2>, increased the inner pressure of the reactor, and resulted in a rupture.	0
<e1>Dizziness</e1> was caused by whiplash and head <e2>injury</e2>.	1
She gave him a <e1>bottle</e1> with <e2>wine</e2> in it.	5
Metastases from the ovary and the uterus are seen in the <e1>skin</e1> of the lower <e2>abdomen</e2>, the groin, or the upper thigh.	2
A <e1>signal</e1> was sent to the <e2>process</e2>.	6
Now, I have a plastic <e1>bottle</e1> that contains <e2>alcohol</e2> in which I put my artificial eyelashes at night when I take them off, to clean them and keep them safe.	5
Pet owners have released <e1>pythons</e1> into the <e2>wild</e2> when they had grown too large for the owners to care for them.	6
Traditionally in China, such <e1>depictions</e1> of nature come from the mind of the <e2>artist</e2>, and are idealized representations of the natural world.	16
Because of its low cost of preparation and reputation as a local comfort food, <e1>chicken</e1> <e2>stew</e2> is often served at large social gatherings such as church fellowships, family reunions and community fundraisers.	9
Two broad <e1>topics</e1> emerging from the <e2>literature</e2> on fiscal forecasting are reviewed.	8
A <e1>mason</e1> has removed the original left and right <e2>edges</e2> and in their place has prepared a simple moulding on each side.	18
For the first time in more than 25 years, captive-bred <e1>black rhinos</e1> have been released back into the <e2>wild</e2> in Kenya.	6
The goal of the study was to determine the percentage of adult Americans who keep <e1>money</e1> in a regular <e2>savings account</e2>.	4
Ruling is in ink and was generally done by the <e1>scribe</e1> who wrote the <e2>quire</e2>.	17
All <e1>bookmarks</e1> have been exported to a single <e2>file</e2>.	6
"Their <e1>deed</e1> of agreement was drawn up in the temple by a notary <e2>public</e2> and confirmed with an oath ""by god and the king."""	18
The <e1>statute</e1> covering the <e2>matter</e2> specified in detail when and where the fair was to be held.	14
Tarps Plus has the best <e1>tarps</e1> for <e2>painters</e2> on the market.	10
The struggle began in 1968 when <e1>machinists</e1> making seat <e2>covers</e2> for the car giant were paid less than men who swept floors.	17
An 11-year-old Greensboro boy turned in a <e1>purse</e1> with <e2>money</e2> inside after he found it in a creek Saturday.	5
The second dancer has added <e1>rhythm</e1> into his <e2>dance</e2>.	6
Much of the resulting <e1>work</e1> is summarised in his joint <e2>book</e2> with Howitt.	15
In July 2004, the <e1>group</e1> struck again with <e2>bombs</e2> at the U.S. and Israeli Embassies.	11
Two <e1>universities</e1> entered in <e2>collaboration</e2> focusing on development of plant biotechnology.	18
HipHop appropriates the symbols of a consumer society: oversized <e1>diamond</e1> <e2>colliers</e2> are worn.	18
The first two <e1>papers</e1> define the contemporary terrorist <e2>threat</e2> while the next three papers examine global counter-terrorism trends.	14
The <e1>examiner</e1> lightly touched the cornea with a hand-held <e2>probe</e2> until a reading was automatically recorded.	11
As the story goes, Whiteman went from being a string <e1>player</e1> in a symphony <e2>orchestra</e2> to becoming, after the First World War, the highest paid dance band in the country, achieving both fame and money.	12
The 50g is hands-down, the absolute best <e1>calculator</e1> for <e2>engineers</e2>, surveyors, and hackers.	10
He bought a <e1>gold</e1> <e2>bracelet</e2> for $200.	18
Grape <e1>brandy</e1> is made from fermented grape <e2>juice</e2>.	8
A <e1>telescope</e1> assists the <e2>eye</e2> chiefly in two ways.	10
There was an the <e1>outrage</e1> from the sexism <e2>crusaders</e2>.	1
These <e1>drugs</e1> also cause headaches and <e2>nausea</e2>, affect your internal organs and raise your bad cholesterol.	0
<e1>Quotation</e1> is used to indicate the <e2>words</e2> of another speaker or writer.	18
On the last day, in a small shop in the Plaka, the oldest quarter in Athens, I bought a <e1>silver</e1> <e2>ring</e2> with Athena's image carved on it.	18
A great <e1>resume</e1> is the best tool for a successful career <e2>transition</e2>.	18
The <e1>nurse</e1> wields the <e2>scalpel</e2>.	11
The <e1>excerpt</e1> was speaking about the average processing <e2>times</e2> of Social Security Disability decisions by these aforementioned offices.	14
The dominant <e1>method</e1> that the Roman <e2>mathematicians</e2> used to identify a year for dating purposes was to name it after the two consuls who took office in it.	10
The <e1>problem</e1> comes from the <e2>widgets</e2> resembling HTC's own Sense UI widgets.	1
The third <e1>bid</e1> was from a window <e2>company</e2> that does its own installation.	16
Love didn't find success initially as he bounced from one therapist to another, but eventually found a <e1>therapist</e1> with a <e2>program</e2> that worked for him.	11
The GAA's Central Council published <e1>measures</e1> with regard to disciplinary <e2>procedures</e2>.	14
The <e1>doctor</e1> injects the solution after disinfection with <e2>alcohol</e2>.	11
He posted the <e1>answers</e1> to the <e2>website</e2>.	6
The <e1>bulbs</e1> in my <e2>house</e2> use 190 watts.	2
During each trial, the first <e1>experimenter</e1> observed the infant through the small <e2>peephole</e2> and recorded visual fixations to the left and right stimuli.	11
"""MenuActivate"" occurs when the <e1>user</e1> accesses the menu with the <e2>keyboard</e2> or mouse."	11
With each visit, the lamb shank gets better, tender and lemon-scented beside a <e1>hill</e1> of cannellini <e2>beans</e2> seasoned with oven-intensified tomatoes.	13
The <e1>electromagnet</e1> has a <e2>coil</e2> of insulated wire around it, which corresponds to the life energy currents which magnetise our body.	3
The <e1>reports</e1> arrived from an army <e2>trailer</e2> in a corner of Camp Victory in Baghdad.	8
The <e1>taste</e1> is from the <e2>ginseng</e2>, not alcohol.	1
Defense <e1>contracts</e1> have been awarded to the <e2>region</e2> since 2005.	6
You find a <e1>bottle</e1> with pretty blue <e2>water</e2> in it in the bathroom.	5
The committee <e1>meetings</e1> have been rescheduled to <e2>tomorrow</e2>, January 17.	6
In some Asian countries, including China, Malaysia and the Philippines, the <e1>turtles</e1> are farmed for <e2>food</e2>.	9
American skiier Lindsey Vonn denied downhill treble as <e1>fog</e1> caused <e2>cancellation</e2> in Val d'Isere.	0
The <e1>accommodation</e1> briefly comprises of <e2>hall</e2>, downstairs w.c., lounge, kitchen, three bedrooms and bathroom.	3
A <e1>programmer</e1> uses a high level <e2>language</e2> to implement its algorithms.	11
The upper and lower <e1>steps</e1> of the <e2>stairs</e2> inside university buildings are clearly marked and are all equipped with at least one handrail.	2
The lower mark is the Vienna <e1>company</e1> that made the <e2>mug</e2>.	17
I'm using a fast and safe way to import <e1>cars</e1> to <e2>overseas</e2>.	6
Roots that cross over the <e1>trunk</e1> of a <e2>tree</e2> instead of growing outward are known as girdling roots and should be removed since they can choke trees.	2
The following are verbatim <e1>excerpts</e1> from a lengthy <e2>article</e2>.	8
<e1>Newspapers</e1> swap content via widgets with the help of the newsgator <e2>service</e2>.	11
The <e1>seeds</e1> have been blown into their <e2>fields</e2> by wind or deposited by birds.	6
<e1>Scientists</e1> have made batteries and <e2>supercapacitors</e2> with little more than ordinary office paper and some carbon and silver nanomaterials.	17
It is fearful to meet in a narrow defile, or where the road winds around the edge of a precipice, a <e1>drove</e1> of reckless <e2>donkeys</e2> and mules descending the mountain, urged on by the cries and lashes of the muleteers behind.	13
So almost immediately after Pearl Harbor, Hawaii's Governor calls for <e1>citizens</e1> and their <e2>guns</e2> to man checkpoints and patrol beaches against an expected Japanese invasion.	11
A <e1>dog</e1> loose on the carriageway caused a five-vehicle <e2>crash</e2> on the M25 on Wednesday morning.	0
The satisfaction was complete - please find below a <e1>statement</e1> from the <e2>producer</e2>.	16
Term <e1>limits</e1> apply to many <e2>offices</e2> at both the federal and state level in the United States.	18
Such a <e1>conclusion</e1> highlights the <e2>importance</e2> of environmental concern in understanding and encouraging environmental behavior.	14
Afterwards the <e1>work</e1> points out the great <e2>difficulties</e2> due to the measurement of those parameters and reports about some experimental investigations executed.	14
<e1>Environmentalists</e1>, utilities, and green businesses are turning to behavioral <e2>economics</e2>.	18
Since we see an <e1>array</e1> of spectral <e2>colors</e2>, it led him to the conclusion that color is a perceptual experience that depends on the wavelength of the light.	13
I judged the <e1>book</e1> by the <e2>cover</e2>.	3
A reasonable <e1>approach</e1> was distilled from the initial <e2>shock</e2> at the conflicting data.	18
After the <e1>snake</e1> was in a <e2>jar</e2> for a few minutes, it ceased the letisimulatory posturing and appeared normal.	4
There is an urgent need for a <e1>fraternity</e1> of various <e2>sections</e2> of the people to fight for the rights of the tribals and against the increasing atrocities on them.	13
As part of a short-term strategy, the <e1>government</e1> has constructed 10300 <e2>houses</e2>, double than the fixed target of 5000 houses.	17
Here is Jose Mojica Marins, the popular Coffin Joe, a <e1>filmmaker</e1> who invented a <e2>cinema</e2> of total grossness.	17
"The <e1>drawer</e1> contained ""a <e2>phial</e2> of some tincture, a paper of some salt, and a record of a series of experiments""."	5
Students actually benefit from <e1>study</e1> through an STS <e2>approach</e2>.	11
The great news is that <e1>germs</e1> causing recreational water <e2>illnesses</e2> are killed by chlorine.	0
They really saw the <e1>architect</e1>'s expensively produced Dongtan <e2>masterplan</e2> as a blueprint for a more sustainable future.	17
Our country is resolving the war and <e1>poverty</e1> caused by the previous <e2>administration</e2>.	1
She is the village bank president for a village bank loan <e1>group</e1> consisting of eight <e2>people</e2>.	13
The gist of <e1>trespass</e1> is direct physical <e2>interference</e2> with another's exclusive possession of land.	18
Phil Mickelson eased through a <e1>crush</e1> of <e2>spectators</e2> and into a courtesy van telling them he would sign autographs in front of the Sheshan International clubhouse after he had a chance to eat.	13
A brewer from Southwick is immortalised as a Hampshire <e1>farmer</e1> produces a new real <e2>ale</e2> in celebration of Old Dick.	17
I make this all the time and replicated a similar <e1>recipe</e1> from a wonderful wonderful <e2>restaurant</e2> in Paducah, KY.	8
That's all <e1>paper</e1> stored in a <e2>binder</e2> by the door of the room.	4
Even if an abstract theme is at the center of the poem, the <e1>poet</e1> still uses concrete <e2>imagery</e2> in order to make it more accessible.	11
His other research <e1>activities</e1> and accomplishments have been discussed in the <e2>section</e2> presented below.	15
"The <e1>photograph</e1> was from the <e2>scene</e2> of the play's climax, where the character formerly known as Shylock threatens Antonio with a knife while demanding his ""pound of coins""."	8
This specific <e1>machine</e1> has been fitted with a Mirus automatic sheet <e2>feeder</e2> thereby increasing the capacity on large runs.	3
So, while naked, he stole a <e1>car</e1> with <e2>children</e2> inside, dropped one out of the window, and drove it through a fence.	18
As for camera/lens info, the <e1>photographer</e1> made the <e2>picture</e2>, not the camera.	17
Narrative <e1>identity</e1> takes part in the story's <e2>movement</e2>, in the dialectic between order and disorder.	18
NASA successfully dropped a <e1>probe</e1> into the designated <e2>area</e2>.	6
The BM purchased from Stevens in December 1861 a <e1>parcel</e1> of 116 <e2>birds</e2> from various localities including Mysol.	13
This reflects much of the light back towards the <e1>lamp</e1> <e2>fitting</e2>.	3
The architect created the beautiful division of the space and the exact proportions, the <e1>sculptor</e1> produced the anatomically correct <e2>figures</e2>, and the painter knew how to blend forms and colours into perfect harmony.	17
The <e1>wings</e1> of a <e2>bat</e2> are made of bones like those bones in our arms and hands.	2
The <e1>storm</e1> resulted in 31 deaths and 2.5 million dollars <e2>damage</e2>.	0
Sixty five million years ago an <e1>asteroid</e1> caused the <e2>extinction</e2> of the dinosaurs.	0
This text indicates that the <e1>drawing</e1> was enclosed in a <e2>letter</e2> to Anna.	2
The Country Lane Charm <e1>birdhouse</e1> is made from antique salvaged barn <e2>wood</e2>.	8
The <e1>researcher</e1> started the slide show with a blue <e2>slide</e2> showing an overview of all episodes of the task and left the adolescent alone.	11
Zook took the <e1>ax</e1> to the coaching <e2>staff</e2>.	6
A <e1>terrorist</e1> has planted a <e2>bomb</e2> in a city centre and it is due to go off in one or two hours' time.	18
The <e1>couple</e1> hailed from Tezpur <e2>town</e2> in northern Assam.	8
Louise is a director, audit chair and finance <e1>committee</e1> <e2>member</e2> of a public health board, and was a director of AFAANZ for 3 years.	13
The <e1>bridge</e1> <e2>pillars</e2>, constructed with stone and lime mortar cores rather than wooden posts, rest on a large oak beam-grate that was built atop the gravel bed of the Danube, at the bottom of the cofferdam.	3
US forces fared so well that MacArthur gained Truman's permission to attempt a total <e1>rout</e1> of communist <e2>forces</e2>.	18
<e1>Alternators</e1> generate <e2>electricity</e2> by the same principle as DC generators.	1
In recent years, considerable <e1>attention</e1> has been focused on regenerative <e2>medicine</e2> because of its applicability to a wide range of medical fields.	18
It seems really nasty to have an <e1>army</e1> of <e2>caterpillars</e2> infest a fruit tree.	13
In the most common form of such an attack, called ischemic stroke, the <e1>blockage</e1> comes from a blood <e2>clot</e2> that develops in one of the brain's blood vessels.	1
The <e1>rod</e1> in the hand priming <e2>tool</e2> is quite long and the handle bottoms out before the primer is completely seated.	2
The <e1>scientists</e1> and monitored the depth while studying the narrows through <e2>binoculars</e2>.	11
For those of you who are unsure what Afrikaans is, it is a language which originated from the Dutch which were the first settlers in South Africa and the unique <e1>language</e1> was evolved from other <e2>settlers</e2> from Malaya, Indonesia, Madagascar and West Africa.	8
The pipeline had to face the following main concerns from opposition: disturbance of animal migration patterns, environmental <e1>damage</e1> from <e2>spills</e2>, geological concerns and the Alaskan permafrost.	1
The murder has dragged the <e1>victim</e1> into the <e2>water</e2>.	6
A woman diagnosed with breast cancer today joins a huge <e1>sisterhood</e1> of cancer <e2>survivors</e2> ready to help her along the way to recovery.	13
First Great Western is preparing to distribute thousands of <e1>leaflets</e1> on board its trains to inform customers about a major track <e2>improvement</e2>.	14
The tunnel complex now hosts a series of <e1>galleries</e1> detailing the <e2>occupation history</e2>.	14
Furthermore, these INGO practitioners constructed a <e1>discourse</e1> around <e2>participation</e2> which distorted the real significance of participation.	14
The <e1>seminar</e1> was well advertised by big <e2>banners</e2> in red.	15
It is the <e1>federation</e1> of different <e2>companies</e2> of believers that has brought such evils as dabbling in politics into the Church of God.	13
First we put baking soda in a balloon then we attached the balloon to the top of a <e1>bottle</e1> with <e2>vinegar</e2> in it.	5
The <e1>movie</e1> received poor <e2>review</e2> from critics.	15
The 575-page <e1>report</e1> by the four-person <e2>mission</e2> was released today, ahead of its presentation to the UN's Human Rights Council in Geneva on 29 September.	16
<e1>Equipment</e1> for making repairs en route was carried in a <e2>jockey box</e2> attached to one end or side of the wagon.	6
The fascinating aspect of therapeutic riding is that the <e1>rider</e1> sitting astride a <e2>horse</e2> walking establishes what is a perfect walking gait for the human.	11
Data shows that public <e1>concern</e1> about the <e2>economy</e2> has moved into the top five issues facing the country.	18
Marcus stabs one of the attackers with a screwdriver and we see the impact, as well as the <e1>victim</e1> painfully removing the <e2>screwdriver</e2>.	9
Earplugs relieve the <e1>discomfort</e1> from <e2>traveling</e2> with a cold allergy or sinus condition.	1
Everybody in the region experienced the <e1>tremors</e1> after <e2>midnight</e2>.	18
I stood at the great central window, which was wide open, and watched the <e1>whiteness</e1> of the <e2>swans</e2> moving vaguely over the surface of the canal in the oncoming twilight.	18
While the curved shape resembles the gentle <e1>undulation</e1> of sand <e2>dunes</e2>, two raised starfish accent the border.	18
This <e1>bed</e1> <e2>pole</e2> has a hook type handle, and fits under the mattress and provides a firm handle to assist with moving and positioning in bed.	3
Old nests are used year after year by the <e1>carpenter</e1> <e2>bee</e2>.	18
The <e1>bacterium</e1> is spreading into the <e2>stalk tissue</e2>.	6
These <e1>ballads</e1> specialized in lampooning <e2>politicians</e2> and authority figures who encouraged Irishmen to fight in foreign wars.	14
The <e1>company</e1> moved into the music <e2>business</e2>.	18
The <e1>team</e1> used the newly-developed <e2>nanoparticle</e2> to build therapies for treating individuals with cardiovascular disease.	11
<e1>Hairdressing</e1> with <e2>color</e2> has become a common trend these days.	18
The <e1>broadsword</e1> was used in some <e2>units</e2>, particularly Scottish regiments.	10
Yellow <e1>fever</e1> is caused by infection with yellow fever <e2>virus</e2>, which is transmitted by the bite of infected mosquitoes.	1
The working party's <e1>conclusions</e1> were set out in a <e2>document</e2> dated June 1951.	15
They are navigational <e1>maps</e1> based on realistic <e2>descriptions</e2> of harbours and coasts.	18
We also showed the presence of 22:6(n-3) in the <e1>liver</e1> and brain of weanling <e2>rats</e2>.	2
The Maze procedure crates new pathways for the electrical <e1>impulses</e1> that trigger the <e2>heartbeat</e2>.	0
It is an occasional <e1>publication</e1> reporting recent <e2>events</e2> and activities taking place at the Institute for Agriculture and Trade Policy.	14
The <e1>cow</e1> makes a <e2>sound</e2> called lowing, also known as mooing.	1
P6 stimulation for PONV is a convincing case for the efficacy of acupuncture; to that were later added <e1>nausea</e1> from <e2>chemotherapy</e2> or pregnancy, and dental pain.	1
Fact Magazine was an American <e1>publication</e1> that commented on <e2>controversial topics</e2>.	14
On the morning of May 25, many schools in northeast China were evacuated because of the <e1>earthquake</e1> caused by the North Korea <e2>nuclear test</e2>.	1
Each <e1>bid</e1> was enclosed in a sealed <e2>envelope</e2> bearing the title of the Project.	6
He sealed the cut after making a <e1>cut</e1> of the stem with a clean, sharp <e2>blade</e2>.	18
After the <e1>emperor</e1> had left the <e2>room</e2>, he turned to his attendants.	8
This <e1>movie</e1> is a depiction of the last twelve <e2>hours</e2> in the life of Jesus of Nazareth, on the day of his crucifixion in Jerusalem.	14
The drama unfolded shortly after 7pm last Tuesday (December 22), when Glyn saw that <e1>smoke</e1> was coming from a <e2>bonfire</e2>.	8
This paper describes a <e1>set</e1> of <e2>principles</e2> designed to help archives position themselves to address the management of current records.	13
A <e1>comb</e1> was hidden in an <e2>envelope</e2> at the bottom of a paper folder stuck to the wall.	4
Charles Rennie Mackintosh's unique <e1>building</e1> was enthusiastically described by the modern art <e2>journal</e2>, as 'one of the most complete and best equipped schools in the United Kingdom'.	15
With these axioms, the <e1>judges</e1> cultivated the <e2>principles</e2> of judgment, and those principles could be used in gauging the restrictions on freedom that were justified or unjustified, in any domain of the law.	18
Police charge a Carlisle man with eight <e1>offences</e1> in relation to the illegal <e2>trade</e2> of endangered tortoises.	18
The greatest exponent of monounsaturated fat is <e1>olive</e1> <e2>oil</e2>, and it is a prime component of the Mediterranean Diet.	9
Ancient Roman <e1>sewer</e1> <e2>grate</e2> made out of lime sandstone, 1st century AD, excavated at Vindobona.	3
New Haven <e1>police</e1> <e2>chief</e2> James Lewis left his post after his contract expired Jan. 31.	13
The present <e1>essay</e1> is derived from a more comprehensive <e2>study</e2>.	8
The man pushed the <e1>woman</e1> into the <e2>windscreen</e2>.	6
<e1>Builders</e1> use a paste like <e2>adhesive</e2> (known in the building trade as mud) to fix the plasterboard to the wall.	11
A rasher of bacon was found in a returned <e1>book</e1> by a Worthing <e2>librarian</e2>.	18
While Jackson was in the White House he kept a <e1>stable</e1> of race <e2>horses</e2> -- perhaps the only president of the United States ever to run a racing stable.	13
The Appellant noticed that the switch of the circuit breaker which feeds 440 volts A.C. power to the main <e1>switchboard</e1> in the <e2>engine</e2>.	2
Games aren't the only geeky point of reference for the <e1>designer</e1>'s new <e2>line</e2>.	17
The fins extend beyond the <e1>hull</e1> of the <e2>vessel</e2> below the waterline, and alter their angle of attack depending upon heel angle of the vessel.	2
<e1>Cancer</e1> has spread into <e2>lymph nodes</e2> close to the tumour.	6
4300 years ago <e1>chimps</e1> started making stone <e2>tools</e2>.	17
Simultaneously the 5-inch battery fired a <e1>broadside</e1> of star <e2>shells</e2> for illumination.	3
Although a commercial Enigma, modified by Polish cryptanalysts to match a military Enigma, used phone plugs, the <e1>plugs</e1> in the <e2>plugboard</e2> of the actual Enigma had two prongs, but they still functioned electrically in the same way as phone plugs.	18
A <e1>player</e1> attaches a <e2>flashlight</e2> to a rifle which is later discarded.	11
The <e1>damages</e1> caused by the <e2>fires</e2> that immediately broke out and raged for three days, were by far worse than those caused by the earthquake itself.	1
The <e1>tiger</e1> is moving into a new <e2>territory</e2>.	6
Amtrak expects a normal rush hour after a fatal <e1>accident</e1> near Baltimore caused <e2>delays</e2> along the Northeast corridor.	0
<e1>Parameters</e1> were obtained from EEG <e2>epochs</e2> of 30s.	8
Without doubt, this is one of the best <e1>books</e1> for <e2>artists</e2> available.	10
These <e1>tests</e1> are a major theme of the <e2>book</e2>, so it is worth investigating them.	15
A variety of <e1>articles</e1> were written on the topic of <e2>alarm management</e2>.	14
There is an exhaust vent and a cable to start the engine, just like a <e1>petrol</e1> driven <e2>lawnmower</e2>.	10
<e1>Adults</e1> with <e2>sleep deprivation</e2> who listened to soft classical music at bedtime reported a 35 percent improvement in their quality of sleep.	18
She sold a <e1>gold</e1> <e2>ring</e2> she received as a gift from her company and her old '80s style chains.	18
Most importantly, the increase in BOLD activity in these regions was independent of the motor <e1>system</e1> that the <e2>participants</e2> used to express their decision.	10
He pushed the <e1>rivet</e1> of the cable <e2>strap</e2> back into the hole.	2
Among the contents of the <e1>bag</e1> were a <e2>diamond ring</e2> worth $2000 and a watch worth $500.	5
The newly elected president is making a <e1>speech</e1> addressing the latest <e2>threat</e2> to this countries economy and people.	14
There were the years of constant fatigue and shortness of breath, the heart attack at age 11, the <e1>collapse</e1> from <e2>exhaustion</e2> on her high school graduation night.	1
The system <e1>unit</e1> is comprised of a central processing unit, <e2>memory</e2>, power supply, and an internal clock.	3
The <e1>scheme</e1> is illustrated with the following <e2>example</e2>.	15
Other <e1>countries</e1> are also sinking into <e2>recession</e2>.	18
The <e1>book</e1> was in a <e2>trunk</e2> full of documents handed over to the archive.	4
The <e1>computer</e1> <e2>mouse</e2> has been the input device of choice for a long time now in the computer world.	3
<e1>Malls</e1> are spreading into smaller <e2>towns</e2> with few precedents to guide them.	6
Thus the leaves situated in the middle part of the <e1>stem</e1> of the sunflower <e2>plant</e2> show the highest amounts of endogenous cytokinin-like substances.	2
The recipes are culled from various restaurant chefs, magazines and Brother Victor-Antoine d'Avila-Latourrette, a <e1>monk</e1> and cookbook <e2>author</e2>.	18
The hollow <e1>bar</e1> mounting the cameras encloses a wiring <e2>harness</e2> between the cameras.	18
The <e1>kitchen</e1> contains various commercial equipment such as <e2>stoves</e2>, griddles, deep fryer, and an oven.	3
We do know this <e1>telecommunications</e1> <e2>company</e2>.	18
For example, driving recklessly and causing an auto <e1>accident</e1> that result in the <e2>death</e2> of another driver or passenger could be qualified as manslaughter.	0
The new armored <e1>casemate</e1> fitted on the hull enclosed a 15 cm <e2>howitzer</e2>.	5
The <e1>tides</e1> caused by the <e2>sun</e2> follow the exact same methods as those by the moon.	1
<e1>Engineers</e1> turn CO2 into methane with the help of a novel cellular <e2>trick</e2>.	11
American scientists have discovered a way of creating new <e1>brain cells</e1> in a <e2>dish</e2>.	18
It shows a <e1>sailor</e1> with a <e2>list</e2> of crossed-out ex-girlfriend's names going down his arm.	3
Unlike other fish, grunion come out of the water completely to lay their eggs in the wet <e1>sand</e1> of the <e2>beach</e2>.	18
The <e1>jelly</e1> inside a <e2>doughnut</e2> is scalding while the pastry is only warm.	2
Stuart's <e1>cavalry</e1> observed the passing through the <e2>town</e2>.	18
Three years ago the coalition organized a strategic <e1>cooperative</e1> of several farmers <e2>associations</e2> to export mangos under the Taiwan Mango brand.	13
Medical <e1>bills</e1> make up half of <e2>bankruptcies</e2>.	0
She placed the <e1>bread</e1> in a serving <e2>basket</e2> and passed it around the classroom.	6
He put the <e1>card</e1> into his <e2>mobile phone</e2>.	6
But a <e1>confederacy</e1> of different <e2>republics</e2> has, in many instances, existed and flourished for a long time together.	13
The trailer is a <e1>combo</e1> of the movies comedy and horror <e2>elements</e2> whilst also selling the potential for Megan Fox to be mostly naked.	3
Technological advances have brought the <e1>wars</e1> into the <e2>living rooms</e2> across the world.	6
Scientists have injected human <e1>cells</e1> into lab <e2>animals</e2>.	6
The drama unfolded even after some of the <e1>stars</e1> had left the <e2>course</e2>.	8
The <e1>nasal cavity</e1> of <e2>birds</e2> contains turbinates (Bang 1971), cartilaginous structures that are thought to have as one of their functions water recovery from air.	2
Moby Doll was the first captive <e1>orca</e1> displayed in a public aquarium <e2>exhibit</e2>.	2
As for the main attraction: the pnuematic function allowing the <e1>crane</e1> <e2>arm</e2> to be raised and lowered, well, it's a simple job made a little more complex.	3
The nuclear hormone receptor <e1>superfamily</e1> consists of structurally related, ligand-dependent transcription <e2>factors</e2> and a large number of orphan receptors for which the ligand has not yet been identified.	3
In these cases, marriages performed in the <e1>temple</e1> by a duly authorized temple <e2>sealer</e2> are recognized by the government.	18
To say that <e1>rowing</e1> is just pulling an <e2>oar</e2> is like saying golf is just swinging a club.	18
Not sure what brand of model it came from but the <e1>wings</e1> are from a trashed <e2>plane</e2> my buddy had.	8
Flames of purple, pink, yellow and blue dance in the air as a <e1>coven</e1> of <e2>sorcerers</e2> call forth energies from within the Empyrean.	13
<e1>Researchers</e1> at Durham University have turned a video game into a fire drill <e2>simulator</e2>.	17
In summer 2000, an Adventist church in Polotsk, Vitebsk Region, was damaged by a <e1>fire</e1> started with <e2>flammable liquids</e2>.	1
Many commercial soap, shower gel or cleanser products contain preservatives, <e1>colorants</e1> and chemicals that cause dryness, <e2>rashes</e2>, itchiness and roughness on the skin.	0
An expansion <e1>tank</e1> has a vertically set up <e2>cylinder</e2> with a float therein, which forms a separating element between water and gas in the cylinder.	3
Five <e1>space shuttle orbiters</e1> have flown into <e2>space</e2> on NASA's missions.	6
The machine blows <e1>water</e1> into the <e2>connecting conduit</e2>.	6
The <e1>idea</e1> of intensification was put forward by a number of <e2>archaeologists</e2>, but the most prominent in developing the idea was Harry Lourandos.	16
Both over-the-counter pain <e1>pills</e1> and prescription drugs cause medication-overuse <e2>headaches</e2>.	0
This is a guide teaches you how to make a video tutorial by recording the <e1>computer</e1> <e2>screen</e2> without camera in minutes.	3
These 14 <e1>portraits</e1> give an introduction to successful <e2>women</e2> in the fields of politics, the economy, science, the church and new social movements.	14
In 48% of the divorces, the <e1>kinship systems</e1> of <e2>grandparents</e2> expanded with divorce through one or more of the following four processes.	18
The <e1>condition</e1> was previously described in the <e2>literature</e2>.	15
The <e1>councilor</e1> proposed assessing infinitival complements through <e2>elicitation</e2>.	11
The <e1>person</e1> who makes a <e2>will</e2> is not available to explain him or herself, or to correct any technical deficiency or error in expression, when it comes into effect on that person's death.	17
It is also illegal for anyone other than the <e1>drug</e1>'s <e2>manufacturer</e2> to re-import a prescription drug that was originally manufactured in the United States.	16
"The movie's child <e1>star</e1>, Michael Stephenson, made a <e2>documentary</e2> about the movie titled ""Best Worst Movie,"" released to critical success in 2009."	17
The <e1>casket</e1> has been moved into the <e2>mausoleum</e2>.	6
The <e1>slaves</e1> were brought into the <e2>country</e2> against their will.	6
The first incarnation of this series was set in the 1940s, during World War II, when the <e1>princess</e1> left her native paradise <e2>island</e2> (where Amazon women had lived for centuries) to help the U.S. foil the Nazis.	8
The <e1>focus</e1> has largely been on the subject of <e2>ethics</e2>.	18
The continuing Nigerian <e1>outbreak</e1> is the biggest ever caused by the <e2>vaccine</e2>.	1
Blade is accepted into the inner <e1>circle</e1> of hardened <e2>criminals</e2> who run things inside the prison and is offered a job on his release.	13
Judging by the decorations in the <e1>shop</e1> <e2>windows</e2>, it is Christmas time.	3
The <e1>system</e1> combined the hierarchical <e2>structure</e2> of decision trees with a clean probabilistic semantics.	18
"The request to alter the voice to a great extent has resulted in exaggerated deviations from the ""normally"" accepted opera <e1>singer</e1>'s <e2>timbre</e2>."	18
Let It Be, the third full-length <e1>record</e1> by the now long-defunct Minnesota <e2>quartet</e2>, was released at the tail end of 1984.	16
